in:HVAC System Type,in:Plant Performance,in:Outdoor Air Quantity,in:Percent Glazing [%],in:Glazing Performance,in:Lighting Power,in:Avg. Workstation Power [W],in:Roof PV Coverage [%],out:AHU Sizing [CFM/SF],out:Cooling [EUI],out:Heating [EUI],out:Lights/Plug [EUI],out:Fan/Pump [EUI],out:PV [EUI],out:Utility Cost [$/SF-yr],out:Total [EUI]
VAV,High,30% increase,0.4,Medium,WSEC Baseline,High [400W],0,1.81,3.2,8.4,32,15,0,0.619,58.7
VAV,High,30% increase,0.4,Low,WSEC Baseline,High [400W],0,1.84,3.5,8.4,32,16.1,0,0.634,60.1
VAV,High,30% increase,0.5,High,WSEC Baseline,High [400W],0,1.96,3.2,8.7,32,14.8,0,0.619,58.7
VAV,High,30% increase,0.5,Medium,WSEC Baseline,High [400W],0,1.99,3.4,8.8,32,15.6,0,0.63,59.7
VAV,High,30% increase,0.5,Low,WSEC Baseline,High [400W],0,2.02,3.7,8.8,32,16.8,0,0.647,61.4
VAV,High,30% increase,0.6,High,WSEC Baseline,High [400W],0,2.14,3.3,9,32,15.2,0,0.628,59.4
VAV,High,30% increase,0.6,Medium,WSEC Baseline,High [400W],0,2.17,3.5,9.1,32,16,0,0.641,60.7
VAV,High,30% increase,0.6,Low,WSEC Baseline,High [400W],0,2.2,3.9,9.2,32,17.5,0,0.661,62.6
DOAS,High,30% increase,0.3,High,WSEC Baseline,Low [200W],0,0.3,3.9,6.2,22.9,9.3,0,0.446,42.3
DOAS,High,30% increase,0.3,Medium,WSEC Baseline,Low [200W],0,0.3,4,6.2,22.9,9.3,0,0.448,42.4
DOAS,High,30% increase,0.3,Low,WSEC Baseline,Low [200W],0,0.3,4.2,6.2,22.9,9.4,0,0.45,42.7
DOAS,High,30% increase,0.4,High,WSEC Baseline,Low [200W],0,0.3,3.9,6.5,22.9,9.3,0,0.45,42.7
DOAS,High,30% increase,0.4,Medium,WSEC Baseline,Low [200W],0,0.3,4.1,6.5,22.9,9.3,0,0.452,42.8
DOAS,High,30% increase,0.4,Low,WSEC Baseline,Low [200W],0,0.3,4.4,6.5,22.9,9.4,0,0.456,43.2
DOAS,High,30% increase,0.5,High,WSEC Baseline,Low [200W],0,0.3,4,6.8,22.9,9.3,0,0.454,43.1
DOAS,High,30% increase,0.5,Medium,WSEC Baseline,Low [200W],0,0.3,4.2,6.8,22.9,9.4,0,0.457,43.3
DOAS,High,30% increase,0.5,Low,WSEC Baseline,Low [200W],0,0.3,4.6,6.8,22.9,9.5,0,0.462,43.8
DOAS,High,30% increase,0.6,High,WSEC Baseline,Low [200W],0,0.3,4.1,7.1,22.9,9.3,0,0.458,43.4
DOAS,High,30% increase,0.6,Medium,WSEC Baseline,Low [200W],0,0.3,4.3,7.1,22.9,9.4,0,0.462,43.7
DOAS,High,30% increase,0.6,Low,WSEC Baseline,Low [200W],0,0.3,4.7,7.1,22.9,9.5,0,0.467,44.3
DOAS,High,30% increase,0.3,High,WSEC Baseline,Med [300W],0,0.3,4.6,6,27.5,9.4,0,0.501,47.5
DOAS,High,30% increase,0.3,Medium,WSEC Baseline,Med [300W],0,0.3,4.7,6,27.5,9.4,0,0.503,47.7
DOAS,High,30% increase,0.3,Low,WSEC Baseline,Med [300W],0,0.3,5,6,27.5,9.5,0,0.506,47.9
DOAS,High,30% increase,0.4,High,WSEC Baseline,Med [300W],0,0.3,4.7,6.3,27.5,9.4,0,0.505,47.9
DOAS,High,30% increase,0.4,Medium,WSEC Baseline,Med [300W],0,0.3,4.8,6.3,27.5,9.5,0,0.508,48.1
DOAS,High,30% increase,0.4,Low,WSEC Baseline,Med [300W],0,0.3,5.1,6.3,27.5,9.6,0,0.512,48.5
DOAS,High,30% increase,0.5,High,WSEC Baseline,Med [300W],0,0.3,4.7,6.6,27.5,9.5,0,0.509,48.3
DOAS,High,30% increase,0.5,Medium,WSEC Baseline,Med [300W],0,0.3,4.9,6.6,27.5,9.5,0,0.512,48.5
DOAS,High,30% increase,0.5,Low,WSEC Baseline,Med [300W],0,0.3,5.3,6.6,27.5,9.7,0,0.517,49
DOAS,High,30% increase,0.6,High,WSEC Baseline,Med [300W],0,0.3,4.8,6.8,27.5,9.5,0,0.513,48.7
DOAS,High,30% increase,0.6,Medium,WSEC Baseline,Med [300W],0,0.3,5.1,6.9,27.5,9.6,0,0.517,49
DOAS,High,30% increase,0.6,Low,WSEC Baseline,Med [300W],0,0.3,5.5,6.9,27.5,9.7,0,0.523,49.5
